id,title,link,description,pubdate,location,timestamp
328056,User Experience Designer,https://dribbble.com/jobs/114584-User-Experience-Designer?source=index,"Anonyome Labs, Inc.  • Full-time   • Remote Friendly ",2023-06-05, Greater Salt Lake City Area,2023-06-05 09:47:42.700018
191488,UX/UI Product Designer-Remote/Contractor,https://dribbble.com/jobs/214541-UX-UI-Product-Designer-Remote-Contractor?source=index,Black Flag Creative  • Freelance   • Remote Friendly ,2023-06-05," Los Angeles, CA",2023-06-05 09:47:42.750193
23769,Product Designer,https://dribbble.com/jobs/211505-Product-Designer?source=index,Kisi  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.802979
454053,Product Designer - UI/UX,https://dribbble.com/jobs/206225-Product-Designer-UI-UX?source=index,CryptoHub LTD  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.850401
480251,UI Engineer,https://dribbble.com/jobs/80001-UI-Engineer?source=index,NationBuilder  • Full-time   • Remote Friendly ,2023-06-05, United States only,2023-06-05 09:47:42.890890
378003,Experience Design Director,https://dribbble.com/jobs/214310-Experience-Design-Director?source=index,Grit Digital Health  • Full-time   • Remote Friendly ,2023-06-05," Denver, CO",2023-06-05 09:47:42.931376
498912,Creative Director,https://dribbble.com/jobs/214244-Creative-Director?source=index,Third and Grove  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.972705
446814,Senior Product Designer,https://dribbble.com/jobs/211241-Senior-Product-Designer?source=index,Endeavor  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:43.014311
26634,Senior Graphic Designer,https://dribbble.com/jobs/214211-Senior-Graphic-Designer?source=index,Evolve Creative  • Full-time   • Remote Friendly ,2023-06-05," Bemidji, MN",2023-06-05 09:47:43.052966
44851,UI/UX (NFT Platform) Designer,https://dribbble.com/jobs/163556-UI-UX-NFT-Platform-Designer?source=index,Brix Labs  • Full-time   • Remote Friendly ,2023-06-05, North America,2023-06-05 09:47:43.092174
281720,UI/UX Design Expert,https://dribbble.com/jobs/147683-UI-UX-Design-Expert?source=index,Client Accelerators  • Full-time   • Remote Friendly ,2023-06-05, Anywhere,2023-06-05 09:47:43.214965
431681,Junior Product Designer (UX/UI),https://dribbble.com/jobs/42053-Junior-Product-Designer-UX-UI?source=index,Lotum  • Full-time   • Remote Friendly ,2023-06-05, Bad Nauheim,2023-06-05 09:47:43.281238
443937,UX Designer,https://dribbble.com/jobs/163094-UX-Designer?source=index,Ethyca  • Full-time   • Remote Friendly ,2023-06-05," New York, NY",2023-06-05 09:47:43.320828
71811,Senior Digital Product Designer,https://dribbble.com/jobs/79539-Senior-Digital-Product-Designer?source=index,TheoremOne  • Full-time   • Remote Friendly ,2023-06-05," North, Central and South America",2023-06-05 09:47:43.374707
