title,link,pubdate,location,description
Strategic Account Executive,https://www.workingnomads.com/job/go/43885/,2023-03-15T15:23:40.382421-04:00,USA,"account manager,software sales"
Senior Product Designer - Sports Innovation,https://www.workingnomads.com/job/go/43884/,2023-03-15T15:13:20.524472-04:00,USA,"product management,product design,ab testing,user interface"
Project Accountant,https://www.workingnomads.com/job/go/43882/,2023-03-15T14:49:19.180049-04:00,USA,"accounting,project management"
Tax Accountant,https://www.workingnomads.com/job/go/43878/,2023-03-15T12:05:06.022755-04:00,USA,"accounting,recruiting"
Customer Service Collections,https://www.workingnomads.com/job/go/43877/,2023-03-15T12:00:10.081881-04:00,USA,"customer service,security"
Assistant Editor,https://www.workingnomads.com/job/go/43873/,2023-03-15T06:33:27.622483-04:00,USA,"editing,publishing,assistant,seo,photoshop"
News Reporter,https://www.workingnomads.com/job/go/43872/,2023-03-15T05:31:50.175533-04:00,USA,"journalism,security"
Account Executive,https://www.workingnomads.com/job/go/43870/,2023-03-15T05:29:44.475403-04:00,USA,"account manager,customer service"
Accountant / Bookkeeper,https://www.workingnomads.com/job/go/43856/,2023-03-14T15:55:47.074341-04:00,USA,"accounting,ecommerce,customer service,cloud,payroll"
Payroll Accountant,https://www.workingnomads.com/job/go/43855/,2023-03-14T15:48:38.173806-04:00,USA,"accounting,payroll,recruiting"
Linux Service Manager,https://www.workingnomads.com/job/go/43854/,2023-03-14T15:42:24.374938-04:00,USA,"devops,linux,tech support"
NetSuite ERP Software Developer,https://www.workingnomads.com/job/go/43850/,2023-03-14T15:16:27.083476-04:00,USA,"erp,netsuite,javascript,front end,full stack"
Technical Product Marketing Manager,https://www.workingnomads.com/job/go/43849/,2023-03-14T15:12:10.460450-04:00,USA,"product marketing,devops,azure,git,linux"
Marketing Copywriter,https://www.workingnomads.com/job/go/43848/,2023-03-14T15:02:52.318806-04:00,Anywhere,"copywriting,seo,project management,entertainment,editing"
Product Designer,https://www.workingnomads.com/job/go/43845/,2023-03-14T10:12:54.685515-04:00,USA,"user experience,android,ios,user interface"
Head of UX,https://www.workingnomads.com/job/go/43832/,2023-03-13T13:43:12.197834-04:00,USA,"user experience,user interface,aws,researcher"
Staff Accountant,https://www.workingnomads.com/job/go/43831/,2023-03-13T13:23:29.570128-04:00,USA,accounting
Tax Accountant,https://www.workingnomads.com/job/go/43830/,2023-03-13T13:15:38.660673-04:00,USA,"accounting,bookkeeping"
Cost Accounting Consultant,https://www.workingnomads.com/job/go/43829/,2023-03-13T13:02:40.153844-04:00,USA,"accounting,recruiting,erp"
Global Marketing Senior Manager Device Strategy,https://www.workingnomads.com/job/go/43827/,2023-03-13T12:56:48.432367-04:00,USA,advertising
Head of Marketing,https://www.workingnomads.com/job/go/43826/,2023-03-13T12:53:26.212130-04:00,USA,"lead generation,project management,social media,user experience,blockchain"
Account Executive,https://www.workingnomads.com/job/go/43825/,2023-03-13T12:36:17.721319-04:00,USA,"account manager,machine learning,recruiting"
Copywriter,https://www.workingnomads.com/job/go/43824/,2023-03-13T12:21:58.124483-04:00,USA,"copywriting,javascript,react,publishing"
News Editor,https://www.workingnomads.com/job/go/43823/,2023-03-13T12:11:59.764075-04:00,USA,"editing,publishing,motion graphics,journalism,adobe creative suite"
Marketing/Proposal Specialist II,https://www.workingnomads.com/job/go/43822/,2023-03-13T11:59:28.994230-04:00,USA,"indesign,project management,journalism,editing"
Events & Project Manager,https://www.workingnomads.com/job/go/43799/,2023-03-10T11:46:32-05:00,Global,"communication,brand awareness"
Data Privacy Analyst II,https://www.workingnomads.com/job/go/43805/,2023-03-10T11:17:10.525427-05:00,USA,"project management,cyber security,security"
Lease Accountant,https://www.workingnomads.com/job/go/43804/,2023-03-10T11:12:42.006848-05:00,USA,accounting
