title,link,pubdate,location,description
Chief of Staff,https://remoteOK.com/jobs/200716,2023-02-27T05:00:03+00:00,US,"react, technical, writer"
Project Manager,https://remoteOK.com/jobs/200896,2023-02-27T00:51:13+00:00,Remote Worldwide,"manager, web3, ethereum"
Senior Frontend Engineer Ecosystem,https://remoteOK.com/jobs/200893,2023-02-27T00:51:12+00:00,Worldwide,"frontend, design, crypto"
Backend Engineer TradFi,https://remoteOK.com/jobs/200895,2023-02-27T00:51:10+00:00,Worldwide,"crypto, cryptocurrency, support"
Senior Frontend & Web3 Engineer,https://remoteOK.com/jobs/200892,2023-02-27T00:51:06+00:00,Worldwide,"web3, frontend, defi"
Technical Writer,https://remoteOK.com/jobs/200900,2023-02-26T23:11:12+00:00,Worldwide,"ethereum, system, technical"
Zero Knowledge Circuit Engineer,https://remoteOK.com/jobs/200897,2023-02-26T23:11:11+00:00,Worldwide,"ethereum, developer, testing"
Senior Smart Contract Engineer,https://remoteOK.com/jobs/200891,2023-02-26T23:11:11+00:00,Worldwide,"ethereum, security, growth"
Head of Quality Assurance,https://remoteOK.com/jobs/200396,2023-02-26T01:10:17+00:00,Remote job,"design, saas, web3"
Smart Coin Programmer,https://remoteOK.com/jobs/200398,2023-02-26T00:51:05+00:00,Worldwide,"programmer, system, code"
Director of Exchange Relations,https://remoteOK.com/jobs/200397,2023-02-26T00:51:04+00:00,Worldwide,"director, crypto, cryptocurrency"
Backend Engineer,https://remoteOK.com/jobs/200395,2023-02-26T00:51:04+00:00,Remote job,"design, web3, defi"
Product Designer,https://remoteOK.com/jobs/200393,2023-02-26T00:51:04+00:00,Palo Alto - Remote,"design, web3, designer"
Full stack Engineer,https://remoteOK.com/jobs/200392,2023-02-26T00:51:04+00:00,Worldwide,"design, web3, crypto"
General Interest Exodus,https://remoteOK.com/jobs/200385,2023-02-26T00:51:04+00:00,Worldwide,
Lead Developer,https://remoteOK.com/jobs/200379,2023-02-25T23:11:08+00:00,Remote job,"developer, design, react"
