title,link,description,pubdate,location,timestamp
Product Designer,https://dribbble.com/jobs/183026-Product-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Hiro Systems</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">United States</span>
      ",2023-06-05 21:20:16.443291
Web Designer,https://dribbble.com/jobs/201605-Web-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">The Remote Company</span>
          <span class=""hide-on-mobile"">
            • Freelance
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Remote</span>
      ",2023-06-05 21:20:16.470607
Groundbreaking UX/UI needed,https://dribbble.com/jobs/206588-Groundbreaking-UX-UI-needed?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Nexus Auto Transport</span>
          <span class=""hide-on-mobile"">
            • Freelance
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Remote</span>
      ",2023-06-05 21:20:16.496355
Product Designer,https://dribbble.com/jobs/204212-Product-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Networx Systems Inc</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">New York City, NY</span>
      ",2023-06-05 21:20:16.523426
A Designer Thats Work Shows They Care,https://dribbble.com/jobs/204113-A-Designer-Thats-Work-Shows-They-Care?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Air</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">San Francisco, CA</span>
      ",2023-06-05 21:20:16.554105
Brand Designer,https://dribbble.com/jobs/140720-Brand-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Airhouse</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">United States</span>
      ",2023-06-05 21:20:16.580015
Product Designer,https://dribbble.com/jobs/195071-Product-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Expensify</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Remote</span>
      ",2023-06-05 21:20:16.607458
Contract UI Designer (startup),https://dribbble.com/jobs/214772-Contract-UI-Designer-startup?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Fay</span>
          <span class=""hide-on-mobile"">
            • Freelance
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Remote</span>
      ",2023-06-05 21:20:16.632162
Senior Digital Designer,https://dribbble.com/jobs/214706-Senior-Digital-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Niftic</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Remote</span>
      ",2023-06-05 21:20:16.661088
Product Designer,https://dribbble.com/jobs/171839-Product-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Ness</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Anywhere</span>
      ",2023-06-05 21:20:16.687286
